Nome_prodotto,Marca,Prezzo_unitario,Quantità_pacco,Codice_prodotto,Provenienza,Descrizione
raccoglitore ad anelli,Epson,32.17,10,905AB,Germania,"folder, raccoglitore, binder, documenti"
Temperamatite,Moleskine,17.09,20,130MN,Germania,"affila matite, utensile, attrezzo, accessorio"
Pennarelli colorati,Pentel,47.33,100,508CD,Polonia,"pennarello, evidenziatore, marker, scrittore"
Temperamatite,Leitz,49.06,50,278XZ,Italia,"complemento, accessorio, utensile, strumento"
Risma A4,HP,4.35,200,202XZ,Cina,"carta, foglio, risma, stampa"
Marcatore indelebile,Moleskine,28.8,50,388AB,Spagna,"pennarello, evidenziatore, marker, scrittore"
Zaino scuola,Staedtler,18.25,25,667MN,Portogallo,"borsa, zainetto, custodia, pacchetto"
Risma A4,Navigator,23.46,50,756XZ,Polonia,"carta, foglio, risma, stampa"
Evidenziatore,Esselte,23.46,50,726MN,UK,"marcatore, sottolineatore, pennarello, contrassegnatore"
Agenda 2025,Esselte,18.51,5,628XZ,Italia,"planner, diario, calendario, organizer"
Penna blu,Navigator,27.07,10,859MN,Polonia,"strumento di scrittura, inchiostro, pennerello, biro"
Pennarelli colorati,Pentel,6.15,5,958MN,Germania,"marcatori, pennarelli, evidenziatori, scrittori"
risma carta A4,Canon,35.43,100,605AB,Polonia,"carta, foglio, risma, stampa"
Etichette adesive,Brother,34.04,200,994EF,Italia,"etichette, adesivi, stickers, cartellini"
Evidenziatore giallo,Pilot,49.47,25,605EF,Germania,"marker, pennarello, sottolineatore, scrittore"
GESSETTI COLORATI,Pilot,33.03,25,153AB,Germania,"pastelli, colori, gessetti, utensili"
Busta trasparente,Moleskine,37.01,20,334CD,Italia,"sacchetto, contenitore, bustina, custodia"
Agenda 2025,Bic,33.17,50,365CD,Italia,"calendario, planner, diario, appuntamenti"
porta documenti,Leitz,28.11,10,560EF,UK,"portafoglio, custodia, archiviazione, protezione"
RISMA CARTA A4,Stabilo,49.06,200,651EF,Portogallo,"foglio, carta, risma, documento"
Porta documenti,Pentel,48.8,25,786CD,Germania,"portafogli, raccoglitore, custodia, busta"
Penna blu,Esselte,37.08,10,169EF,Cina,"stilo, biro, penna a sfera, scrittore"
Gessetti colorati,Esselte,27.07,200,830CD,Germania,"creta, pastelli, colori, strumenti"
Evidenziatore giallo,Canon,15.12,25,717CD,Cina,"marker, pennarello, scrittore, annotatore"
Busta trasparente,Bic,3.0,20,576CD,Portogallo,"sacchetto, involucro, pellicola, rivestimento"
Cartuccia stampante,Bic,31.25,20,727MN,Cina,"inchiostro, cartuccia, toner, stampa"
Calcolatrice scientifica,Pilot,2.48,100,542MN,Francia,"strumento, calcolo, dispositivo, calcolatore"
Forbici,Pilot,19.21,200,442EF,Germania,"strumento da taglio, utensile, cesoia, forbice"
Penna blu,Faber Castell,6.13,500,729CD,Cina,"scrittore, stilografica, biro, pennarello"
Quaderno A4,Canon,19.35,20,570XZ,Germania,"libro, agenda, blocco, quadernetto"
Porta documenti,Leitz,41.04,20,470MN,Portogallo,"custodia, raccoglitore, cartellina, archivio"
Caricatore stampante,Pilot,27.36,50,851EF,Spagna,"cartuccia, inchiostro, toner, stampante"
Marcatore indelebile,Pilot,38.16,50,513XZ,Italia,"pennarello, evidenziatore, marker, scrittore"
Porta documenti,Moleskine,47.39,5,619AB,Spagna,"cartella, portafoglio, raccoglitore, custodia"
GESSETTI COLORATI,Canon,23.46,100,590EF,USA,"gessetti, pastelli, colori, utensili"
Evidenziatore,Epson,20.07,100,489EF,Olanda,"marcatore, pennarello, scrittore, evidenziatore fluorescente"
Quaderno A4,Epson,45.05,20,894AB,Polonia,"notebook, taccuino, diario, registratore"
Agenda 2025,Bic,8.8,100,250CD,Francia,"calendario, pianificatore, diario, appuntamenti"
Notes adesivi,Epson,4.35,25,504MN,Spagna,"post-it, adesivi, note, segnali"
Busta trasparente,Epson,37.01,10,466EF,Spagna,"sacchetto, contenitore, protezione, imballaggio"
gessetti colorati,Pilot,12.35,5,107MN,Italia,"pastelli, gessetti, colori, scrittura"
Penna blu,Staedtler,40.31,50,467XZ,Cina,"strumento di scrittura, penna, inchiostro, biro"
Calcolatrice scientifica,Esselte,2.07,200,174AB,UK,"calcolatore, strumento, elettronica, apparecchio"
Penna Moleskine,Moleskine,42.25,100,438AB,UK,"strumento di scrittura, biro, stilografica, penna a sfera"
Carta fotografica,Oxford,32.55,50,114CD,Germania,"stampa fotografica, foglio fotografico, carta lucida, supporto per immagini"
Lavagna Bianca,Esselte,16.28,20,492AB,Portogallo,"pannello, tabellone, supporto, superficie"
Lavagna Bianca,Navigator,28.9,20,200MN,Germania,"tavolozza, superficie, pannello, supporto"
Temperamatite,Bic,28.9,25,596CD,Cina,"inseguitore, affilatore, punta, utensile"
Marcatore indelebile,Oxford,46.29,25,124CD,Francia,"pennarello, evidenziatore, marker, scrittore"
Calcolatrice scientifica,Canon,49.05,100,999AB,Cina,"calculatore, calcolatore elettronico, strumento di calcolo, computer portatile"
Zaino scuola,Canon,17.04,50,449MN,UK,"zaino, borsa, zainetto, contenitore"
Temperamatite,Leitz,19.11,50,245CD,Polonia,"affila matite, affilamatite, accessorio per scrittura, strumento per disegno"
Bic lavagna bianca,Bic,38.31,50,188MN,Cina,"pennarello, marker, scrittore, evidenziatore"
Lavagna bianca,HP,7.12,200,477CD,UK,"tabella, pannello, supporto, superficie"
Pennarelli colorati,HP,23.46,50,907MN,Cina,"marcatori, evidenziatori, pennarelli, colori"
Etichette adesive,Bic,7.13,100,612AB,Olanda,"adesivo, etichetta, marchio, targhetta"
Pennarelli colorati,Pentel,32.17,20,641MN,Olanda,"marcatori, pennarelli, evidenziatori, strumenti di scrittura"
Calcolatrice scientifica,Pilot,12.35,50,880XZ,Cina,"devise, contatore, strumento, calcolo"
Pennarelli colorati,Oxford,49.05,100,854AB,Francia,"marcatori, pennarelli, evidenziatori, scrittori"
Evidenziatore,Brother,34.19,10,297MN,Olanda,"marcatori, pennarello, sottolineatore, evidenziatore"
